image_path,group,overall_growth,leaf_distribution,branch_development
week_1/controlled/W1_CTL_020.jpg,controlled,early,sparse,none
week_1/controlled/W1_CTL_021.jpg,controlled,mid,sparse,none
week_1/controlled/W1_CTL_022.jpg,controlled,early,sparse,none
week_1/controlled/W1_CTL_023.jpg,controlled,early,sparse,none
week_1/controlled/W1_CTL_024.jpg,controlled,early,sparse,none
week_1/controlled/W1_CTL_025.jpg,controlled,early,moderate,none
week_1/controlled/W1_CTL_026.jpg,controlled,early,sparse,none
week_1/controlled/W1_CTL_027.jpg,controlled,early,sparse,none
week_1/controlled/W1_CTL_028.jpg,controlled,early,sparse,none
week_1/controlled/W1_CTL_029.jpg,controlled,early,sparse,none
week_1/controlled/W1_CTL_030.jpg,controlled,early,sparse,none

week_2/exposed/W2_EXP_001.jpg,exposed,late,moderate,developed
week_2/exposed/W2_EXP_002.jpg,exposed,mid,moderate,none
week_2/exposed/W2_EXP_003.jpg,exposed,mid,moderate,none
week_2/exposed/W2_EXP_004.jpg,exposed,mid,moderate,none
week_2/exposed/W2_EXP_005.jpg,exposed,mid,dense,developing
week_2/exposed/W2_EXP_006.jpg,exposed,mid,moderate,none
week_2/exposed/W2_EXP_007.jpg,exposed,late,moderate,developed
week_2/exposed/W2_EXP_008.jpg,exposed,late,moderate,none
week_2/exposed/W2_EXP_009.jpg,exposed,mid,moderate,developing
week_2/exposed/W2_EXP_010.jpg,exposed,mid,moderate,developed
week_2/exposed/W2_EXP_011.jpg,exposed,mid,moderate,developing
week_2/exposed/W2_EXP_012.jpg,exposed,late,dense,developed
week_2/exposed/W2_EXP_013.jpg,exposed,mid,moderate,none
week_2/exposed/W2_EXP_014.jpg,exposed,mid,dense,developing
week_2/exposed/W2_EXP_015.jpg,exposed,mid,moderate,none
week_2/exposed/W2_EXP_016.jpg,exposed,mid,moderate,developing
week_2/exposed/W2_EXP_017.jpg,exposed,mid,dense,none
week_2/exposed/W2_EXP_018.jpg,exposed,mid,moderate,developing
week_2/exposed/W2_EXP_019.jpg,exposed,mid,sparse,developing
week_2/exposed/W2_EXP_020.jpg,exposed,mid,moderate,developing
week_2/controlled/W2_CTL_001.jpg,controlled,mid,moderate,developing
week_2/controlled/W2_CTL_002.jpg,controlled,late,moderate,developing
week_2/controlled/W2_CTL_003.jpg,controlled,mid,moderate,developing
week_2/controlled/W2_CTL_004.jpg,controlled,mid,moderate,developing
week_2/controlled/W2_CTL_005.jpg,controlled,mid,moderate,developed
week_2/controlled/W2_CTL_006.jpg,controlled,late,sparse,none
week_2/controlled/W2_CTL_007.jpg,controlled,mid,dense,developing
week_2/controlled/W2_CTL_008.jpg,controlled,mid,moderate,none
week_2/controlled/W2_CTL_009.jpg,controlled,mid,moderate,developing
week_2/controlled/W2_CTL_010.jpg,controlled,late,moderate,none
week_2/controlled/W2_CTL_011.jpg,controlled,mid,moderate,developing
week_2/controlled/W2_CTL_012.jpg,controlled,late,sparse,none
week_2/controlled/W2_CTL_013.jpg,controlled,mid,moderate,none
week_2/controlled/W2_CTL_014.jpg,controlled,mid,moderate,none
week_2/controlled/W2_CTL_015.jpg,controlled,mid,moderate,developing
week_2/controlled/W2_CTL_016.jpg,controlled,late,moderate,none
week_2/controlled/W2_CTL_017.jpg,controlled,mid,moderate,none
week_2/controlled/W2_CTL_018.jpg,controlled,mid,moderate,none
week_2/controlled/W2_CTL_019.jpg,controlled,mid,moderate,developing
week_2/controlled/W2_CTL_020.jpg,controlled,mid,sparse,developing

week_3/exposed/W3_EXP_001.jpg,exposed,late,dense,developed
week_3/exposed/W3_EXP_002.jpg,exposed,late,moderate,developing
week_3/exposed/W3_EXP_003.jpg,exposed,late,dense,developed
week_3/exposed/W3_EXP_004.jpg,exposed,late,dense,developing
week_3/exposed/W3_EXP_005.jpg,exposed,late,moderate,developed
week_3/exposed/W3_EXP_006.jpg,exposed,late,dense,developed
week_3/exposed/W3_EXP_007.jpg,exposed,late,dense,developed
week_3/exposed/W3_EXP_008.jpg,exposed,late,dense,developed
week_3/exposed/W3_EXP_009.jpg,exposed,mid,dense,developing
week_3/exposed/W3_EXP_010.jpg,exposed,late,dense,developed
week_3/exposed/W3_EXP_011.jpg,exposed,late,moderate,developed
week_3/exposed/W3_EXP_012.jpg,exposed,late,dense,developed
week_3/exposed/W3_EXP_013.jpg,exposed,late,dense,developed
week_3/controlled/W3_CTL_001.jpg,controlled,late,dense,developing
week_3/controlled/W3_CTL_002.jpg,controlled,mid,moderate,developing
week_3/controlled/W3_CTL_003.jpg,controlled,late,dense,developing
week_3/controlled/W3_CTL_004.jpg,controlled,late,moderate,developed
week_3/controlled/W3_CTL_005.jpg,controlled,late,dense,developing
week_3/controlled/W3_CTL_006.jpg,controlled,late,moderate,developed
week_3/controlled/W3_CTL_007.jpg,controlled,mid,moderate,developed
week_3/controlled/W3_CTL_008.jpg,controlled,late,moderate,developed
week_3/controlled/W3_CTL_009.jpg,controlled,late,moderate,developed
week_3/controlled/W3_CTL_010.jpg,controlled,mid,dense,none
week_3/controlled/W3_CTL_011.jpg,controlled,late,dense,developed
week_3/controlled/W3_CTL_012.jpg,controlled,late,dense,developing
week_3/controlled/W3_CTL_013.jpg,controlled,late,dense,developing
