plant_id,group,week,sunlight,temperature,water,height,leaves,branches
C15,Control,9,7.6,30.5,690,17.75,8,4
C15,Control,10,7.6,30.7,800,19.24,9,4
C15,Control,11,8.2,30.0,930,23.78,8,4
C15,Control,12,7.1,31.2,890,24.68,7,4
C16,Control,1,7.0,30.8,210,1.52,3,0
C16,Control,2,7.3,30.7,260,2.14,4,0
C16,Control,3,7.9,30.1,310,3.23,5,0
C16,Control,4,7.7,30.0,330,4.82,5,0
C16,Control,5,7.5,30.3,390,6.65,9,0
C16,Control,6,8.1,29.7,520,8.84,5,2
C16,Control,7,7.0,31.0,480,11.04,8,2
C16,Control,8,7.8,30.0,670,13.74,6,3
C16,Control,9,7.4,30.3,650,16.99,6,5
C16,Control,10,7.4,30.5,760,19.41,9,5
C16,Control,11,8.0,29.8,890,22.68,5,3
C16,Control,12,6.9,31.0,850,24.84,8,4
C17,Control,1,7.0,30.8,220,1.32,2,0
C17,Control,2,7.4,30.8,270,2.11,3,0
C17,Control,3,8.0,30.1,320,3.27,5,0
C17,Control,4,7.8,30.1,340,4.79,5,0
C17,Control,5,7.5,30.3,400,6.2,8,0
C17,Control,6,8.1,29.8,530,8.63,5,2
C17,Control,7,7.0,31.1,490,10.71,7,2
C17,Control,8,7.9,30.1,680,13.73,9,3
C17,Control,9,7.5,30.3,660,16.25,5,4
C17,Control,10,7.5,30.6,770,19.18,8,4
C17,Control,11,8.0,29.8,900,22.39,5,4
C17,Control,12,7.0,31.1,860,24.55,7,4
C18,Control,1,7.1,30.9,230,1.43,2,0
C18,Control,2,7.4,30.8,280,2.15,4,0
C18,Control,3,8.0,30.2,330,3.43,5,0
C18,Control,4,7.8,30.1,350,4.93,6,0
C18,Control,5,7.6,30.4,410,6.46,9,0
C18,Control,6,8.2,29.8,540,8.96,4,2
C18,Control,7,7.1,31.1,500,11.04,7,2
C18,Control,8,7.9,30.1,690,13.98,10,3
C18,Control,9,7.5,30.4,670,16.85,5,4
C18,Control,10,7.5,30.6,780,19.48,8,5
C18,Control,11,8.1,29.9,910,22.62,4,4
C18,Control,12,7.0,31.1,870,24.86,8,4
C19,Control,1,7.1,30.9,240,1.36,2,0
C19,Control,2,7.5,30.9,290,2.15,3,0
C19,Control,3,8.1,30.2,340,3.16,5,0
C19,Control,4,7.8,30.2,360,4.86,5,0
C19,Control,5,7.6,30.4,420,6.66,8,0
C19,Control,6,8.2,29.9,550,8.84,5,2
C19,Control,7,7.1,31.2,510,11.08,7,2
C19,Control,8,8.0,30.2,700,13.71,9,4
C19,Control,9,7.5,30.4,680,16.87,6,4
C19,Control,10,7.5,30.7,790,19.43,8,5
C19,Control,11,8.2,29.9,920,22.08,4,3
C19,Control,12,7.0,31.2,880,24.59,7,4
C20,Control,1,7.2,31.0,250,1.5,2,0
C20,Control,2,7.5,30.9,300,2.16,3,0
C20,Control,3,8.1,30.3,350,3.49,5,0
C20,Control,4,7.9,30.2,370,4.99,5,0
C20,Control,5,7.7,30.5,430,6.99,9,0
C20,Control,6,8.3,29.9,560,8.97,4,2
C20,Control,7,7.2,31.2,520,10.87,7,1
C20,Control,8,8.0,30.2,710,14.29,11,2
C20,Control,9,7.6,30.5,690,17.75,8,4
C20,Control,10,7.6,30.7,800,19.24,9,4
C20,Control,11,8.2,30.0,930,23.78,8,4
C20,Control,12,7.1,31.2,890,24.68,7,4
E01,Experimental,1,7.7,29.3,220,1.53,2,0
E01,Experimental,2,7.9,29.5,260,2.23,4,0
E01,Experimental,3,8.0,29.7,300,3.81,6,0
E01,Experimental,4,8.1,29.9,350,5.36,6,0
E01,Experimental,5,8.0,30.0,420,6.89,11,0
E01,Experimental,6,8.2,30.1,500,9.7,8,3
E01,Experimental,7,8.3,30.2,600,12.55,11,3
E01,Experimental,8,8.4,30.3,700,15.73,14,2
E01,Experimental,9,8.2,30.1,780,19.26,11,5
E01,Experimental,10,8.1,29.9,850,22.56,14,5
E01,Experimental,11,8.0,29.8,900,25.49,10,4
E01,Experimental,12,7.9,29.7,950,26.61,12,5
E02,Experimental,1,7.8,29.3,230,1.45,2,0
E02,Experimental,2,8.0,29.6,270,2.32,5,0
E02,Experimental,3,8.0,29.8,310,3.56,5,0
E02,Experimental,4,8.1,29.9,360,5.22,6,0
E02,Experimental,5,8.0,30.1,430,6.86,10,0
E02,Experimental,6,8.2,30.1,510,9.42,7,2
E02,Experimental,7,8.3,30.2,610,12.14,10,2
E02,Experimental,8,8.4,30.3,710,15.04,13,5
E02,Experimental,9,8.2,30.1,790,18.65,10,4
E02,Experimental,10,8.1,29.9,860,21.81,13,5
E02,Experimental,11,8.0,29.8,910,24.99,9,4
E02,Experimental,12,8.0,29.8,960,28.16,12,5
E03,Experimental,1,7.8,29.4,240,1.55,2,0
E03,Experimental,2,8.0,29.6,280,2.52,5,0
E03,Experimental,3,8.1,29.8,320,3.89,6,0
E03,Experimental,4,8.2,30.0,370,5.24,6,0
E03,Experimental,5,8.1,30.1,440,7.44,11,0
E03,Experimental,6,8.3,30.2,520,9.69,7,2
E03,Experimental,7,8.4,30.3,620,12.61,11,3
E03,Experimental,8,8.5,30.4,720,15.86,13,3
E03,Experimental,9,8.3,30.2,800,19.07,11,5
E03,Experimental,10,8.2,30.0,870,22.43,13,5
E03,Experimental,11,8.1,29.9,920,25.53,10,5
E03,Experimental,12,8.0,29.8,970,28.99,14,5
E04,Experimental,1,7.8,29.4,250,1.43,3,0
E04,Experimental,2,8.1,29.7,290,2.31,5,0
E04,Experimental,3,8.2,29.9,330,3.53,5,0
E04,Experimental,4,8.2,30.1,380,5.27,6,0
E04,Experimental,5,8.2,30.2,450,7.02,10,0
E04,Experimental,6,8.4,30.2,530,9.41,7,2
E04,Experimental,7,8.5,30.4,630,11.99,10,2
E04,Experimental,8,8.6,30.4,730,15.17,13,4
E04,Experimental,9,8.4,30.2,810,18.38,10,4
E04,Experimental,10,8.2,30.1,880,21.8,13,5
E04,Experimental,11,8.2,29.9,930,24.22,9,4
E04,Experimental,12,8.1,29.9,980,27.87,12,6
E05,Experimental,1,7.9,29.5,260,1.73,3,0
E05,Experimental,2,8.1,29.7,300,2.47,3,0
E05,Experimental,3,8.2,29.9,340,4.03,6,0
E05,Experimental,4,8.3,30.1,390,5.44,6,0
E05,Experimental,5,8.2,30.2,460,7.38,10,0
E05,Experimental,6,8.4,30.3,540,9.61,7,2
E05,Experimental,7,8.5,30.4,640,12.5,10,2
E05,Experimental,8,8.6,30.5,740,15.71,13,4
E05,Experimental,9,8.4,30.3,820,19.06,11,5
E05,Experimental,10,8.3,30.1,890,22.16,13,5
E05,Experimental,11,8.2,30.0,940,25.72,10,5
E05,Experimental,12,8.1,29.9,990,28.55,13,5
E06,Experimental,1,7.7,29.3,220,1.53,2,0
E06,Experimental,2,7.9,29.5,260,2.23,4,0
E06,Experimental,3,8.0,29.7,300,3.81,6,0
E06,Experimental,4,8.1,29.9,350,5.36,6,0
E06,Experimental,5,8.0,30.0,420,6.89,11,0
E06,Experimental,6,8.2,30.1,500,9.7,8,3
E06,Experimental,7,8.3,30.2,600,12.55,11,3
E06,Experimental,8,8.4,30.3,700,15.73,14,2
E06,Experimental,9,8.2,30.1,780,19.26,11,5
E06,Experimental,10,8.1,29.9,850,22.56,14,5
E06,Experimental,11,8.0,29.8,900,25.49,10,4
E06,Experimental,12,7.9,29.7,950,26.61,12,5
E07,Experimental,1,7.8,29.3,230,1.45,2,0
E07,Experimental,2,8.0,29.6,270,2.32,5,0
E07,Experimental,3,8.0,29.8,310,3.56,5,0
E07,Experimental,4,8.1,29.9,360,5.22,6,0
E07,Experimental,5,8.0,30.1,430,6.86,10,0
E07,Experimental,6,8.2,30.1,510,9.42,7,2
E07,Experimental,7,8.3,30.2,610,12.14,10,2
E07,Experimental,8,8.4,30.3,710,15.04,13,5
E07,Experimental,9,8.2,30.1,790,18.65,10,4
E07,Experimental,10,8.1,29.9,860,21.81,13,5
E07,Experimental,11,8.0,29.8,910,24.99,9,4
E07,Experimental,12,8.0,29.8,960,28.16,12,5
E08,Experimental,1,7.8,29.4,240,1.55,2,0
E08,Experimental,2,8.0,29.6,280,2.52,5,0
E08,Experimental,3,8.1,29.8,320,3.89,6,0
E08,Experimental,4,8.2,30.0,370,5.24,6,0
E08,Experimental,5,8.1,30.1,440,7.44,11,0
E08,Experimental,6,8.3,30.2,520,9.69,7,2
E08,Experimental,7,8.4,30.3,620,12.61,11,3
E08,Experimental,8,8.5,30.4,720,15.86,13,3
E08,Experimental,9,8.3,30.2,800,19.07,11,5
E08,Experimental,10,8.2,30.0,870,22.43,13,5
E08,Experimental,11,8.1,29.9,920,25.53,10,5
E08,Experimental,12,8.0,29.8,970,28.99,14,5
E09,Experimental,1,7.8,29.4,250,1.43,3,0
E09,Experimental,2,8.1,29.7,290,2.31,5,0
E09,Experimental,3,8.2,29.9,330,3.53,5,0
E09,Experimental,4,8.2,30.1,380,5.27,6,0
E09,Experimental,5,8.2,30.2,450,7.02,10,0
E09,Experimental,6,8.4,30.2,530,9.41,7,2
E09,Experimental,7,8.5,30.4,630,11.99,10,2
E09,Experimental,8,8.6,30.4,730,15.17,13,4
E09,Experimental,9,8.4,30.2,810,18.38,10,4
E09,Experimental,10,8.2,30.1,880,21.8,13,5
E09,Experimental,11,8.2,29.9,930,24.22,9,4
E09,Experimental,12,8.1,29.9,980,27.87,12,6
E10,Experimental,1,7.9,29.5,260,1.73,3,0
E10,Experimental,2,8.1,29.7,300,2.47,3,0
E10,Experimental,3,8.2,29.9,340,4.03,6,0
E10,Experimental,4,8.3,30.1,390,5.44,6,0
E10,Experimental,5,8.2,30.2,460,7.38,10,0
E10,Experimental,6,8.4,30.3,540,9.61,7,2
E10,Experimental,7,8.5,30.4,640,12.5,10,2
E10,Experimental,8,8.6,30.5,740,15.71,13,4
E10,Experimental,9,8.4,30.3,820,19.06,11,5
E10,Experimental,10,8.3,30.1,890,22.16,13,5
E10,Experimental,11,8.2,30.0,940,25.72,10,5
E10,Experimental,12,8.1,29.9,990,28.55,13,5
E11,Experimental,1,7.7,29.3,220,1.53,2,0
E11,Experimental,2,7.9,29.5,260,2.23,4,0
E11,Experimental,3,8.0,29.7,300,3.81,6,0
E11,Experimental,4,8.1,29.9,350,5.36,6,0
E11,Experimental,5,8.0,30.0,420,6.89,11,0
E11,Experimental,6,8.2,30.1,500,9.7,8,3
E11,Experimental,7,8.3,30.2,600,12.55,11,3
E11,Experimental,8,8.4,30.3,700,15.73,14,2
E11,Experimental,9,8.2,30.1,780,19.26,11,5
E11,Experimental,10,8.1,29.9,850,22.56,14,5
E11,Experimental,11,8.0,29.8,900,25.49,10,4
E11,Experimental,12,7.9,29.7,950,26.61,12,5
E12,Experimental,1,7.8,29.3,230,1.45,2,0
E12,Experimental,2,8.0,29.6,270,2.32,5,0
E12,Experimental,3,8.0,29.8,310,3.56,5,0
E12,Experimental,4,8.1,29.9,360,5.22,6,0
E12,Experimental,5,8.0,30.1,430,6.86,10,0
E12,Experimental,6,8.2,30.1,510,9.42,7,2
E12,Experimental,7,8.3,30.2,610,12.14,10,2
E12,Experimental,8,8.4,30.3,710,15.04,13,5
E12,Experimental,9,8.2,30.1,790,18.65,10,4
E12,Experimental,10,8.1,29.9,860,21.81,13,5
E12,Experimental,11,8.0,29.8,910,24.99,9,4
E12,Experimental,12,8.0,29.8,960,28.16,12,5
E13,Experimental,1,7.8,29.4,240,1.55,2,0
E13,Experimental,2,8.0,29.6,280,2.52,5,0
E13,Experimental,3,8.1,29.8,320,3.89,6,0
E13,Experimental,4,8.2,30.0,370,5.24,6,0
E13,Experimental,5,8.1,30.1,440,7.44,11,0
E13,Experimental,6,8.3,30.2,520,9.69,7,2
E13,Experimental,7,8.4,30.3,620,12.61,11,3
E13,Experimental,8,8.5,30.4,720,15.86,13,3
E13,Experimental,9,8.3,30.2,800,19.07,11,5
E13,Experimental,10,8.2,30.0,870,22.43,13,5
E13,Experimental,11,8.1,29.9,920,25.53,10,5
E13,Experimental,12,8.0,29.8,970,28.99,14,5
E14,Experimental,1,7.8,29.4,250,1.43,3,0
E14,Experimental,2,8.1,29.7,290,2.31,5,0
E14,Experimental,3,8.2,29.9,330,3.53,5,0
E14,Experimental,4,8.2,30.1,380,5.27,6,0
E14,Experimental,5,8.2,30.2,450,7.02,10,0
E14,Experimental,6,8.4,30.2,530,9.41,7,2
E14,Experimental,7,8.5,30.4,630,11.99,10,2
E14,Experimental,8,8.6,30.4,730,15.17,13,4
E14,Experimental,9,8.4,30.2,810,18.38,10,4
E14,Experimental,10,8.2,30.1,880,21.8,13,5
E14,Experimental,11,8.2,29.9,930,24.22,9,4
E14,Experimental,12,8.1,29.9,980,27.87,12,6
E15,Experimental,1,7.9,29.5,260,1.73,3,0
E15,Experimental,2,8.1,29.7,300,2.47,3,0
E15,Experimental,3,8.2,29.9,340,4.03,6,0
E15,Experimental,4,8.3,30.1,390,5.44,6,0
E15,Experimental,5,8.2,30.2,460,7.38,10,0
E15,Experimental,6,8.4,30.3,540,9.61,7,2
E15,Experimental,7,8.5,30.4,640,12.5,10,2
E15,Experimental,8,8.6,30.5,740,15.71,13,4
E15,Experimental,9,8.4,30.3,820,19.06,11,5
E15,Experimental,10,8.3,30.1,890,22.16,13,5
E15,Experimental,11,8.2,30.0,940,25.72,10,5
E15,Experimental,12,8.1,29.9,990,28.55,13,5
E16,Experimental,1,7.7,29.3,220,1.53,2,0
E16,Experimental,2,7.9,29.5,260,2.23,4,0
E16,Experimental,3,8.0,29.7,300,3.81,6,0
E16,Experimental,4,8.1,29.9,350,5.36,6,0
E16,Experimental,5,8.0,30.0,420,6.89,11,0
E16,Experimental,6,8.2,30.1,500,9.7,8,3
E16,Experimental,7,8.3,30.2,600,12.55,11,3
E16,Experimental,8,8.4,30.3,700,15.73,14,2
E16,Experimental,9,8.2,30.1,780,19.26,11,5
E16,Experimental,10,8.1,29.9,850,22.56,14,5
E16,Experimental,11,8.0,29.8,900,25.49,10,4
E16,Experimental,12,7.9,29.7,950,26.61,12,5
E17,Experimental,1,7.8,29.3,230,1.45,2,0
E17,Experimental,2,8.0,29.6,270,2.32,5,0
E17,Experimental,3,8.0,29.8,310,3.56,5,0
E17,Experimental,4,8.1,29.9,360,5.22,6,0
E17,Experimental,5,8.0,30.1,430,6.86,10,0
E17,Experimental,6,8.2,30.1,510,9.42,7,2
E17,Experimental,7,8.3,30.2,610,12.14,10,2
E17,Experimental,8,8.4,30.3,710,15.04,13,5
E17,Experimental,9,8.2,30.1,790,18.65,10,4
E17,Experimental,10,8.1,29.9,860,21.81,13,5
E17,Experimental,11,8.0,29.8,910,24.99,9,4
E17,Experimental,12,8.0,29.8,960,28.16,12,5
E18,Experimental,1,7.8,29.4,240,1.55,2,0
E18,Experimental,2,8.0,29.6,280,2.52,5,0
E18,Experimental,3,8.1,29.8,320,3.89,6,0
E18,Experimental,4,8.2,30.0,370,5.24,6,0
E18,Experimental,5,8.1,30.1,440,7.44,11,0
E18,Experimental,6,8.3,30.2,520,9.69,7,2
E18,Experimental,7,8.4,30.3,620,12.61,11,3
E18,Experimental,8,8.5,30.4,720,15.86,13,3
E18,Experimental,9,8.3,30.2,800,19.07,11,5
E18,Experimental,10,8.2,30.0,870,22.43,13,5
E18,Experimental,11,8.1,29.9,920,25.53,10,5
E18,Experimental,12,8.0,29.8,970,28.99,14,5
E19,Experimental,1,7.8,29.4,250,1.43,3,0
E19,Experimental,2,8.1,29.7,290,2.31,5,0
E19,Experimental,3,8.2,29.9,330,3.53,5,0
E19,Experimental,4,8.2,30.1,380,5.27,6,0
E19,Experimental,5,8.2,30.2,450,7.02,10,0
E19,Experimental,6,8.4,30.2,530,9.41,7,2
E19,Experimental,7,8.5,30.4,630,11.99,10,2
E19,Experimental,8,8.6,30.4,730,15.17,13,4
E19,Experimental,9,8.4,30.2,810,18.38,10,4
E19,Experimental,10,8.2,30.1,880,21.8,13,5
E19,Experimental,11,8.2,29.9,930,24.22,9,4
E19,Experimental,12,8.1,29.9,980,27.87,12,6
E20,Experimental,1,7.9,29.5,260,1.73,3,0
E20,Experimental,2,8.1,29.7,300,2.47,3,0
E20,Experimental,3,8.2,29.9,340,4.03,6,0
E20,Experimental,4,8.3,30.1,390,5.44,6,0
E20,Experimental,5,8.2,30.2,460,7.38,10,0
E20,Experimental,6,8.4,30.3,540,9.61,7,2
E20,Experimental,7,8.5,30.4,640,12.5,10,2
E20,Experimental,8,8.6,30.5,740,15.71,13,4
E20,Experimental,9,8.4,30.3,820,19.06,11,5
E20,Experimental,10,8.3,30.1,890,22.16,13,5
E20,Experimental,11,8.2,30.0,940,25.72,10,5
E20,Experimental,12,8.1,29.9,990,28.55,13,5

